id,lab_id,Special dougallii,Colour-ring no.,Colour-ring place (Green left or Green right tarsus),year,date,country,location,First capture (Local) or retrap (R),mass,wing,head,culmen,tarsus,sex,plumage,moult_scores,origin,colony_code,colony_name,date_ringed,hy_ad,age,reporter,colony_inferred,note,recaptured_date,recaptured_place,recaptured_reporter,note
CV83784,B68,,B68,GL,2022,4/6/2022,SN,La langue de Barbarie ,L,106.3,235,76.1,,19.5,F,ad summer ,5555558888,,,,,,,,ROC,,25/05/2022 + June 2023,Rockabill (Ireland),Steve Newton,
CV83785,B73,,B73,GL,2022,4/6/2022,SN,La langue de Barbarie ,L,99.5,245,76.9,,20.9,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83786,A69,,A69,GL,2022,4/6/2022,SN,La langue de Barbarie ,L,105.8,242,82.5,,19.4,M,ad summer ,5555555588,,,,,,,,unknown,,,,,
CV83787,A71,,A71,GL,2022,4/6/2022,SN,La langue de Barbarie ,L,93.8,236,76.4,,20.9,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83788,B61,,B61,GL,2022,4/6/2022,SN,La langue de Barbarie ,L,101.3,233,76.4,,21.4,F,ad summer ,5555555888,,,,,,,,AZ,,26/05/2022,"Praia Islet colony, Graciosa, Azores (Portugal)",Veronica Neves,
G016184,B76,,B76,GL,2022,4/6/2022,SN,La langue de Barbarie ,R,113.8,233,78.5,,19.6,F,ad summer ,5555555888,Azores,AZ,Praia Islet (Graciosa),10/7/2015,HY,7,Veronica Neves,AZ,,,,,
Ring AC,A21,Left: 12/V3,A21,GR,2022,4/6/2022,SN,La langue de Barbarie ,R,102.2,242,79,,21.4,F,ad summer ,5555558888,Ireland,LIL,Lady's Island Lake,9/6/2007,HY,15,Steve Newton,LIL,SR55112 lost,11/05/2022 + June 2023,"Inish Island colony, Lady's Island Lake (Ireland)",Edward Stubbings,
Ring AC,A62,Right: 90/V6,A62,GL,2022,4/6/2022,SN,La langue de Barbarie ,R,100.5,235,78.4,,22.1,F,ad summer ,5488888888,Ireland,ROC,Rockabill,1/7/2007,HY,15,Steve Newton,ROC,SR52690 lost,,,,
Ring AC,B91,Right: AD/NZ,B91,GL,2022,4/6/2022,SN,La langue de Barbarie ,R,117.8,240,77.5,,20.5,M,ad summer ,5555555888,Ireland,ROC,Rockabill,5/7/2017,HY,5,Steve Newton,ROC,,,,,
SR55757,57X0,Right: 57/X0,,,2022,4/6/2022,SN,La langue de Barbarie ,R,98.3,232,74.9,,20.1,F,ad summer ,5555555888,Ireland,LIL,Lady's Island Lake,9/6/2010,HY,12,Steve Newton,LIL,,,,,
SR94874,74CY,Right: 74/CY,,,2022,4/6/2022,SN,La langue de Barbarie ,R,113.5,231,77,,20.3,F,ad summer ,5588888888,Ireland,LIL,Lady's Island Lake,23/06/2015,HY,7,Steve Newton,LIL,,,,,
ST04435,AX35,Right: AX/35,,,2022,4/6/2022,SN,La langue de Barbarie ,R,105.3,230,76.5,,20.2,F,ad summer ,5555555888,Ireland,ROC,Rockabill,13/07/2011,HY,11,Steve Newton,ROC,,,,,
ST20556,56BH,Right: 56/BH,,,2022,4/6/2022,SN,La langue de Barbarie ,R,95.7,230,76.4,,20,F,ad summer ,5555555888,Ireland,ROC,Rockabill,9/7/2012,HY,10,Steve Newton,ROC,,,,,
ST21731,31BW,Right: 31/BW,,,2022,4/6/2022,SN,La langue de Barbarie ,R,111.5,232,77.5,,21.4,F,ad summer ,5555588888,Ireland,ROC,Rockabill,20/07/2013,HY,9,Steve Newton,ROC,,,,,
ST22337,37BU,Right: 37/BU,,,2022,4/6/2022,SN,La langue de Barbarie ,R,117.4,235,77.5,,20.7,F,ad summer ,5555555888,Ireland,ROC,Rockabill,20/07/2013,HY,9,Steve Newton,ROC,,,,,
SV91192,92F5,Right: 92/F5,,,2022,4/6/2022,SN,La langue de Barbarie ,R,109.6,230,80.9,,21,M,ad summer ,5555558888,Ireland,ROC,Rockabill,8/7/2003,HY,19,Steve Newton,ROC,,,,,
BJ15542,A36,,A36,GL,2022,4/7/2022,SN,La langue de Barbarie ,R,110.3,235,82,,20.8,M,ad summer ,5555555888,Senegal,,La Somone,1/4/2019,AD,,SAFRING,unknown,,,,,
CV83789,,,A43,GL,2022,4/7/2022,SN,La langue de Barbarie ,L,116.2,231,77.2,,19.6,,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83790,A52,,A52,GL,2022,4/7/2022,SN,La langue de Barbarie ,L,108.5,237,80.1,,20.9,M,ad summer ,5555558888,,,,,,,,unknown,,,,,
CV83791,A72,,A72,GL,2022,4/7/2022,SN,La langue de Barbarie ,L,99.9,241,80.4,,20.5,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83792,A79,,A79,GL,2022,4/7/2022,SN,La langue de Barbarie ,L,107.8,238,77.5,,21.2,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83793,A76,,A76,GL,2022,4/7/2022,SN,La langue de Barbarie ,L,108.1,238,78.6,,19.5,F,ad summer ,5555588888,,,,,,,,ROC,,April / May 2022 + June 2023,Rockabill (Ireland),Steve Newton,
CV83794,A81,,A81,GL,2022,4/7/2022,SN,La langue de Barbarie ,L,95.7,230,74.9,,19.5,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83795,A87,,A87,GL,2022,4/7/2022,SN,La langue de Barbarie ,L,108.7,234,83.1,,20.3,M,ad summer ,5555555488,,,,,,,,unknown,,,,,
CV83796,A34,,A34,GL,2022,4/7/2022,SN,La langue de Barbarie ,L,107.6,232,75.5,,22,F,ad summer ,5555555888,,,,,,,,ROC,,April / May 2022,Rockabill (Ireland),Steve Newton,
CV83797,A89,,A89,GL,2022,4/7/2022,SN,La langue de Barbarie ,L,104.5,234,75.8,,21.1,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83798,A51,,A51,GL,2022,4/7/2022,SN,La langue de Barbarie ,L,113,237,82.3,,20.7,M,ad summer ,5555555888,,,,,,,,unknown,,,,,
G013460,A82,,A82,GL,2022,4/7/2022,SN,La langue de Barbarie ,R,105.5,235,78.4,,18.6,F,ad summer ,5555888888,Azores,AZ,Praia Islet (Graciosa),12/6/2011,AD,,Veronica Neves,AZ,,,,,
Ring AC,A80,Left: AC/12,A80,GR,2022,4/7/2022,SN,La langue de Barbarie ,R,110.6,240,79.5,,19.8,M,ad summer ,5555555888,Ireland,LIL,Lady's Island Lake,18/06/2010,HY,12,Steve Newton,LIL,SR94012 lost,30/04/2022,"Inish Island colony, Lady's Island Lake (Ireland)",Edward Stubbings,
SR94500,00BX,Left: 00/BX,,,2022,4/7/2022,SN,La langue de Barbarie ,R,107.1,238,83,,20.1,F,ad summer ,5555555888,Ireland,LIL,Lady's Island Lake,26/06/2014,HY,8,Steve Newton,LIL,,,,,
ST05382,AZ82,Right: AZ/82,,,2022,4/7/2022,SN,La langue de Barbarie ,R,111.1,235,78.5,,20.1,F,ad summer ,5555555888,Ireland,ROC,Rockabill,3/8/2011,HY,11,Steve Newton,ROC,,,,,
ST19528,28BE,Right: 28/BE,,,2022,4/7/2022,SN,La langue de Barbarie ,R,105.3,236,77.4,,21.6,F,ad summer ,5555558888,Ireland,ROC,Rockabill,4/7/2012,HY,10,Steve Newton,ROC,,,,,
ST25066,66DD,Right: 66/DD,,,2022,4/7/2022,SN,La langue de Barbarie ,R,129.3,241,79.8,,20.4,M,ad summer ,5555558888,Ireland,ROC,Rockabill,28/06/2015,HY,7,Steve Newton,ROC,,,,,
ST25456,56DF,Right: 56/DF,,,2022,4/7/2022,SN,La langue de Barbarie ,R,112.2,239,83.6,,20.7,M,ad summer ,5555553888,Ireland,ROC,Rockabill,27/06/2015,HY,7,Steve Newton,ROC,,,,,
CV83501,B96,,B96,GL,2022,4/8/2022,SN,La langue de Barbarie ,L,117.1,240,81.2,,20.3,M,ad summer ,5555555588,,,,,,,,unknown,,,,,
CV83502,B13,,B13,GL,2022,4/8/2022,SN,La langue de Barbarie ,L,115.4,240,80.4,,21.7,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83503,B14,,B14,GL,2022,4/8/2022,SN,La langue de Barbarie ,L,107.8,230,78.5,,20,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83504,B16,,B16,GL,2022,4/8/2022,SN,La langue de Barbarie ,L,109.3,232,78.6,,20.9,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83505,B19,,B19,GL,2022,4/8/2022,SN,La langue de Barbarie ,L,104,239,75.3,,19.5,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83506,B22,,B22,GL,2022,4/8/2022,SN,La langue de Barbarie ,L,120.2,243,82.1,,20.8,M,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83507,B23,,B23,GL,2022,4/8/2022,SN,La langue de Barbarie ,L,107.8,230,74.7,,19.2,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83508,B24,,B24,GL,2022,4/8/2022,SN,La langue de Barbarie ,L,108.4,239,80.9,,19.9,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83509,B26,,B26,GL,2022,4/8/2022,SN,La langue de Barbarie ,L,114.8,240,79.5,,21,M,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83510,B25,,B25,GL,2022,4/8/2022,SN,La langue de Barbarie ,L,108.2,241,80.4,,20.5,M,ad summer ,5555555588,,,,,,,,unknown,,,,,
CV83511,B97,,B97,GL,2022,4/8/2022,SN,La langue de Barbarie ,L,111.7,230,77.8,,20.2,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83512,B27,,B27,GL,2022,4/8/2022,SN,La langue de Barbarie ,L,113.5,232,81.1,,20.1,M,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83513,B30,,B30,GL,2022,4/8/2022,SN,La langue de Barbarie ,L,102.4,241,80.4,,20.7,M,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83514,B05,,B05,GL,2022,4/8/2022,SN,La langue de Barbarie ,L,117.3,232,76.5,,21.4,F,ad summer ,5555555588,,,,,,,,unknown,,,,,
CV83515,B32,,B32,GL,2022,4/8/2022,SN,La langue de Barbarie ,L,114.9,236,80.4,,20.8,M,ad summer ,5555555588,,,,,,,,BR,,13/06/2022,"Île aux Moutons, Brittany (France)",Bernard Cadiou,Seen only once outside the breeding area
CV83516,B86,,B86,GL,2022,4/8/2022,SN,La langue de Barbarie ,L,113.4,234,78.1,,21.4,M,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83517,A31,,A31,GL,2022,4/8/2022,SN,La langue de Barbarie ,L,105.7,234,78,,21.4,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83518,B70,,B70,GL,2022,4/8/2022,SN,La langue de Barbarie ,L,111.4,238,79.8,,20.5,M,ad summer ,5555555888,,,,,,,,AZ,,13/05/2022,"Santo Antonio colony, Pico, Azores (Portugal)",Olivier Coucelos,
CV83519,B47,,B47,GL,2022,4/8/2022,SN,La langue de Barbarie ,L,107.6,235,77.8,,19.9,F,ad summer ,5555555588,,,,,,,,unknown,,,,,
CV83520,A30,,A30,GL,2022,4/8/2022,SN,La langue de Barbarie ,L,109.4,243,81.9,,20,M,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83521,B56,,B56,GL,2022,4/8/2022,SN,La langue de Barbarie ,L,102,237,77.5,,20.1,F,ad summer ,5555555888,,,,,,,,ROC,,April / May 2022,Rockabill (Ireland),Steve Newton,
CV83522,B49,,B49,GL,2022,4/8/2022,SN,La langue de Barbarie ,L,110.1,239,81.2,,20.3,M,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83799,A18,,A18,GL,2022,4/8/2022,SN,La langue de Barbarie ,L,102.9,235,75,,19,F,ad summer ,5555555588,,,,,,,,unknown,,,,,
CV83800,B09,,B09,GL,2022,4/8/2022,SN,La langue de Barbarie ,L,118.8,232,75.4,,20.3,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
Ring AC,B48,Left: 82/F8,B48,GR,2022,4/8/2022,SN,La langue de Barbarie ,R,94.6,232,75.8,,19,F,ad summer ,5555555888,Ireland,ROC,Rockabill,9/7/2003,HY,19,Steve Newton,ROC,SV91582 lost,(June 2023),Inish Island (Lady's Island Lake),Edward Stubbings,
Ring AC,B90,Right: AK/45,B90,GL,2022,4/8/2022,SN,La langue de Barbarie ,R,101.5,232,76.4,,18.8,F,ad summer ,5555558888,Ireland,ROC,Rockabill,12/7/2010,HY,12,Steve Newton,ROC,SR93545 lost,(June 2023),Rockabill (Ireland),Steve Newton,
Ring AC,B52,Right: 77/BE,B52,GL,2022,4/8/2022,SN,La langue de Barbarie ,R,89.5,229,73.6,,18.6,F,ad summer ,5555555888,Ireland,ROC,Rockabill,7/7/2012,HY,10,Steve Newton,ROC,ST19577 lost,,,,
Ring AC,A27,Right: AB/JZ,A27,GL,2022,4/8/2022,SN,La langue de Barbarie ,R,117.6,236,75.1,,19.8,F,ad summer ,5555555888,Ireland,ROC,Rockabill,3/7/2017,HY,5,Steve Newton,ROC,,,,,
Ring AC,B10,Right: AY/JK,B10,GL,2022,4/8/2022,SN,La langue de Barbarie ,R,116.9,242,78.6,,21.2,F,ad summer ,5555558888,Ireland,ROC,Rockabill,11/7/2018,HY,4,Steve Newton,ROC,,,,,
Ring AC,B58,Right: BC/YD,B58,GL,2022,4/8/2022,SN,La langue de Barbarie ,R,95,229,75.6,,20.4,F,ad summer ,5555558888,Ireland,ROC,Rockabill,1/7/2019,HY,3,Steve Newton,ROC,,23/05/2023,"Figuera da Foz, Portugal",Luis Silva,Photo available
SR40320,20F3,Right: 20/F3,,,2022,4/8/2022,SN,La langue de Barbarie ,R,116.4,241,81,,21.5,F,ad summer ,5555555888,Ireland,ROC,Rockabill,16/06/2006,HY,16,Steve Newton,ROC,,,,,
SR41601,01T2,Right: 01/T2,,,2022,4/8/2022,SN,La langue de Barbarie ,R,113.2,243,80.2,,21.2,F,ad summer ,5555555888,Ireland,ROC,Rockabill,28/06/2006,HY,16,Steve Newton,ROC,,,,,
SR41763,63T3,Right: 63/T3,,,2022,4/8/2022,SN,La langue de Barbarie ,R,116.4,237,80.4,,20.5,M,ad summer ,5555555888,Ireland,ROC,Rockabill,28/06/2006,HY,16,Steve Newton,ROC,Trapped at La Somone in 2013,,,,
SR41776,76T3,Right: 76/T3,,,2022,4/8/2022,SN,La langue de Barbarie ,R,111.6,238,83.4,,21.4,F,ad summer ,5555555888,Ireland,ROC,Rockabill,28/06/2006,HY,16,Steve Newton,ROC,,,,,
SR92767,67F5,Right: 67/F5,,,2022,4/8/2022,SN,La langue de Barbarie ,R,114.6,239,80.6,,21.4,M,ad summer ,5555555888,Ireland,ROC,Rockabill,1/7/2010,HY,12,Steve Newton,ROC,,,,,
SR93251,AF51,Right: AF/51,,,2022,4/8/2022,SN,La langue de Barbarie ,R,102.8,235,75.7,,20.1,F,ad summer ,5555555888,Ireland,ROC,Rockabill,6/7/2010,HY,12,Steve Newton,ROC,,,,,
SR94901,01DB,Left: 01/DB,,,2022,4/8/2022,SN,La langue de Barbarie ,R,104.5,238,80.3,,21.9,F,ad summer ,5555555888,Ireland,LIL,Lady's Island Lake,26/06/2014,HY,8,Steve Newton,LIL,,,,,
ST05705,05BA,Right: 05/BA,,,2022,4/8/2022,SN,La langue de Barbarie ,R,109.4,231,76.3,,20.6,F,ad summer ,5555555888,Ireland,ROC,Rockabill,13/06/2012,HY,10,Steve Newton,ROC,,,,,
ST14864,69DC,Right: 69/DC,,,2022,4/8/2022,SN,La langue de Barbarie ,R,96.8,236,76.8,,20.4,F,ad summer ,5555555888,Ireland,LIL,Lady's Island Lake,18/06/2015,HY,7,Steve Newton,LIL,,,,,
ST19530,30BE,Right: 30/BE,,,2022,4/8/2022,SN,La langue de Barbarie ,R,104.1,235,77.8,,20.2,F,ad summer ,5555555888,Ireland,ROC,Rockabill,4/7/2012,HY,10,Steve Newton,ROC,,,,,
ST19740,40BF,Right: 40/BF,,,2022,4/8/2022,SN,La langue de Barbarie ,R,112.2,238,76.9,,20.7,F,ad summer ,5555555888,Ireland,ROC,Rockabill,4/7/2012,HY,10,Steve Newton,ROC,,,,,
ST22054,54BS,Right: 54/BS,,,2022,4/8/2022,SN,La langue de Barbarie ,R,109.8,240,79.1,,19.5,F,ad summer ,5555555888,Ireland,ROC,Rockabill,16/07/2013,HY,9,Steve Newton,ROC,,,,,
ST25787,87DJ,Right: 87/DJ,,,2022,4/8/2022,SN,La langue de Barbarie ,R,107.6,233,77.6,,21.3,F,ad summer ,5555558888,Ireland,ROC,Rockabill,12/7/2015,HY,7,Steve Newton,ROC,,,,,
ST54186,86F8,Right: 86/F8,,,2022,4/8/2022,SN,La langue de Barbarie ,R,120.2,238,79.2,,19,M,ad summer ,5555555888,Ireland,LIL,Lady's Island Lake,6/6/2017,HY,5,Steve Newton,LIL,,,,,
ST54277,77F9,Left: 77/F9,,,2022,4/8/2022,SN,La langue de Barbarie ,R,105.9,238,77.9,,19.6,F,ad summer ,5555555888,Ireland,LIL,Lady's Island Lake,20/06/2016,HY,6,Steve Newton,LIL,,,,,
ST54687,87DX,Left: 87/DX,,,2022,4/8/2022,SN,La langue de Barbarie ,R,115.9,240,81.2,,21,M,ad summer ,5555555888,Ireland,LIL,Lady's Island Lake,15/06/2018,HY,4,Steve Newton,LIL,,,,,
CV83523,B67,,B67,GL,2022,4/11/2022,SN,La Somone,L,94.5,235,79.8,,19.6,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83524,B65,,B65,GL,2022,4/11/2022,SN,La Somone,L,95.9,247,77.3,,20.3,F,ad summer ,5555555888,,,,,,,,ROC,,(June 2023),Rockabill (Ireland),Steve Newton,
CV83525,B66,,B66,GL,2022,4/11/2022,SN,La Somone,L,93.9,235,75.4,,21.3,F,ad summer ,5555558888,,,,,,,,unknown,,,,,
Ring AC,A58,Right: AC/CX,A58,GL,2022,4/11/2022,SN,La Somone,R,95.3,239,77.5,,20,F,ad summer ,5555558888,Ireland,ROC,Rockabill,1/7/2017,HY,5,Steve Newton,ROC,,(June 2023),Rockabill (Ireland),Steve Newton,
ST03658,AT58,Right: AT/58,,,2022,4/11/2022,SN,La Somone,R,93.9,235,79.1,,20.8,M,ad summer ,5555555888,Ireland,ROC,Rockabill,12/7/2011,HY,11,Steve Newton,ROC,,,,,
ST19760,60BF,Right: 60/BF,,,2022,4/11/2022,SN,La Somone,R,100.7,237,78.6,,20.7,M,ad summer ,5555558888,Ireland,ROC,Rockabill,7/7/2012,HY,10,Steve Newton,ROC,,,,,
CV83526,A61,,A61,GL,2022,4/13/2022,SN,La Somone,L,86.1,231,74,,19.5,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
SR73435,35X2,Right: 35/X2,,,2022,4/14/2022,SN,La Somone,R,95.4,236,77.6,,20.8,F,ad summer ,5555558888,Ireland,ROC,Rockabill,7/7/2009,HY,13,Steve Newton,ROC,,,,,
SR93138,AE38,Right: AE/38,,,2022,4/14/2022,SN,La Somone,R,96.9,245,77.5,,21.9,M,ad summer ,5555555888,Ireland,ROC,Rockabill,6/7/2010,HY,12,Steve Newton,ROC,,,,,
CV83527,B62,,B62,GL,2022,4/17/2022,SN,La Somone,L,82.5,234,79.3,,21.6,M,ad summer ,5555558888,,,,,,,,unknown,,,,,
Ring AC,B63,Right: 9D/84,,,2022,4/17/2022,SN,La Somone,R,96.5,237,83.2,,21.6,F,ad summer ,5555555888,Ireland,ROC,Rockabill,16/07/2002,HY,20,Steve Newton,ROC,SV80984 lost,,,,
Ring AC,9D84,Right: 17/CM,B63,GL,2022,4/17/2022,SN,La Somone,R,92.3,236,83.5,,21.9,M,ad summer ,5555554888,Ireland,ROC,Rockabill,3/7/2014,HY,8,Steve Newton,ROC,,April / May 2022,Rockabill (Ireland),Steve Newton,
ST21862,CB62,Right: CB/62,,,2022,4/17/2022,SN,La Somone,R,92.2,234,80.2,,20.5,M,ad summer ,5555555888,Ireland,ROC,Rockabill,22/07/2013,HY,9,Steve Newton,ROC,,,,,
CV83598,23-01,,E86,GL,2023,4/2/2023,SN,La langue de Barbarie,L,127.18,238,81.8,,20.8,M,,5555555588,,,,,,,,unknown,,,,,
CV83801,23-02,,E93,GL,2023,4/3/2023,SN,La langue de Barbarie,L,122.22,237,79.3,,21.7,F,,5555555888,,,,,,,,unknown,,,,,
CV83802,23-03,,E46,GL,2023,4/3/2023,SN,La langue de Barbarie,L,106.43,245,80.1,,21.4,M,,5555555888,,,,,,,,unknown,,,,,
CV83803,23-04,,E48,GL,2023,4/3/2023,SN,La langue de Barbarie,L,104.33,228,79.5,,20.9,M,,5588888888,,,,,,,,unknown,,,,,
CV83813,23-05,,E03,GL,2023,4/9/2023,SN,La Somone,L,112.02,246,80.1,,21.5,M,,5555555888,,,,,,,,unknown,,,,,
CV83600,23-06,,E10,GL,2023,4/3/2023,SN,La langue de Barbarie,L,124.82,238,77.4,,21.3,F,,5555555888,,,,,,,,ROC,,6/5/2023,Rockabill (Ireland),Steve Newton,
ST22399,23-07,Right: 99/BU,,,2023,4/9/2023,SN,La Somone,R,101.38,241,79,,20.5,F,,5555555888,Ireland,ROC,Rockabill,20/07/2013,HY,10,Steve Newton,ROC,,,,,
Ring AC,23-08,Right: 32/X1,E70,GL,2023,4/3/2023,SN,La langue de Barbarie,R,92.31,235,92.31,,21.1,F,,5555558888,Ireland,ROC,Rockabill,6/7/2009,HY,14,Steve Newton,ROC,,(June 2023),Rockabill,Steve Newton,
ST76859,23-09,Right: N1/59,,,2023,4/3/2023,SN,La langue de Barbarie,R,119,237,76.7,,20.5,F,,5555555888,Ireland,ROC,Rockabill,6/7/2016,HY,7,Steve Newton,ROC,,,,,
ST52174,23-10,Right: 74/DM,,,2023,4/4/2023,SN,La langue de Barbarie,R,107.52,233,77.1,,21.4,F,,5555558888,Ireland,ROC,Rockabill,2/7/2015,HY,8,Steve Newton,ROC,,,,,
ST76913,23-11,Right: L8/13,,,2023,4/6/2023,SN,La langue de Barbarie,R,116.09,239,80.3,,22.1,M,,5555888888,Ireland,ROC,Rockabill,6/7/2016,HY,7,Steve Newton,ROC,,,,,
SR93098,23-12,Right: 98/F7,,,2023,4/6/2023,SN,La langue de Barbarie,R,121.89,237,78.2,,20.8,F,,5555555888,Ireland,ROC,Rockabill,3/7/2010,HY,13,Steve Newton,ROC,,,,,
CV83812,23-13,,E02,GL,2023,4/7/2023,SN,La Somone,L,97.2,227,75.2,,19.4,F,,5555548888,,,,,,,,unknown,,,,,
