id,lab_id,Special dougallii,Colour-ring no.,Colour-ring place (Green left or Green right tarsus),year,date,country,location,First capture (Local) or retrap (R),mass,wing,head,culmen,tarsus,sex,plumage,moult_scores,origin,colony_code,colony_name,date_ringed,hy_ad,age,reporter,colony_inferred,note,recaptured_date,recaptured_place,recaptured_reporter,note
Ring AC,23-14,Right: BZ/XY,E91,GL,2023,4/7/2023,SN,La Somone,R,105.22,225,76.3,,20.5,F,,5555558888,Ireland,ROC,Rockabill,29/06/2021,HY,2,Steve Newton,ROC,,,,,
SR55616,23-15,Right: AD/16,,,2023,4/7/2023,SN,La Somone,R,97.11,229,78.6,,21.3,F,,5555555888,Ireland,LIL,Lady's Island Lake,3/6/2011,HY,12,Steve Newton,LIL,,,,,
ST20982,23-16,Right: 82/BM,,,2023,4/8/2023,SN,La Somone,R,97.41,234,78.5,,20.5,F,,5555888888,Ireland,ROC,Rockabill,13/07/2012,HY,11,Steve Newton,ROC,,,,,
Ring AC,23-17,Right: BE/JD,E26,GL,2023,4/8/2023,SN,La Somone,R,105.23,235,78.1,,20.4,F,,5555555888,Ireland,ROC,Rockabill,2/7/2019,HY,4,Steve Newton,ROC,,,,,
Ring AC,23-18,Right: BH/BV,E31,GL,2023,4/8/2023,SN,La Somone,R,108.1,234,78,,21.6,F,,5555555888,Ireland,ROC,Rockabill,2/7/2019,HY,4,Steve Newton,ROC,,,,,
Ring AC,23-19,Right: BV/CX,E52,GL,2023,4/8/2023,SN,La Somone,R,107.53,232,79.1,,22.1,M,,5555558888,Ireland,ROC,Rockabill,18/06/2021,HY,2,Steve Newton,ROC,,,,,
ST22563,23-20,Right: 63/BV,,,2023,4/8/2023,SN,La Somone,R,102.08,234,81.4,,22.7,F,,5555555888,Ireland,ROC,Rockabill,21/07/2013,HY,10,Steve Newton,ROC,,,,,
SR38535,23-21,Right: 35/R7,,,2023,4/8/2023,SN,La Somone,R,90.6,230,78.9,,20.6,F,,5555558888,Ireland,ROC,Rockabill,1/7/2005,HY,18,Steve Newton,ROC,,,,,
CV83814,23-22,,E18,GL,2023,4/9/2023,SN,La Somone,L,94.2,240,78.5,,21.3,F,,5555555888,,,,,,,,unknown,,,,,
ST52396,23-23,Right: 96/DN,,,2023,4/10/2023,SN,La Somone,R,93.46,237,78.3,,,F,,5555555888,Ireland,ROC,Rockabill,11/7/2015,HY,8,Steve Newton,ROC,,,,,
SR00709,23-24,Right: 09/P7,,,2023,4/10/2023,SN,La Somone,R,93.31,233,78.8,,,M,,5555555888,Ireland,ROC,Rockabill,16/07/2003,HY,20,Steve Newton,ROC,,,,,
ST76595,23-25,Right: L9/95,,,2023,4/10/2023,SN,La Somone,R,95.25,235,75.8,,,F,,5555555888,Ireland,ROC,Rockabill,5/7/2016,HY,7,Steve Newton,ROC,,,,,
Ring AC,23-26,Left: O2/ED,E87,GR,2023,4/11/2023,SN,La Somone,R,99.37,232,83.2,,,M,,5555555888,Ireland,LIL,Lady's Island Lake,18/06/2018,HY,5,Steve Newton,LIL,,(June 2023),Inish Island (Lady's Island Lake),Edward Stubbings,
No ring,23-27,Right: 89/T8,,,2023,4/11/2023,SN,La Somone,R,110.85,234,80.7,,,M,,5555558888,Ireland,ROC,Rockabill,13/06/2007,HY,16,Steve Newton,ROC,Left foot missing with SR52089 lost; PCR test H5N1 positive ,,,,
CV83815,23-28,,E82,GL,2023,4/11/2023,SN,La Somone,L,91.05,237,77.6,,,F,,5555555888,,,,,,,,unknown,,,,,
CV83816,23-29,,E85,GL,2023,4/11/2023,SN,La Somone,L,104.1,239,78.4,,,M,,5555555888,,,,,,,,unknown,,,,,
CV83817,23-30,,E88,GL,2023,4/11/2023,SN,La Somone,L,110.33,231,77.4,,,M,,5555555888,,,,,,,,unknown,,,,,
ST19514,23-31,Right: 14/BE,,,2023,4/12/2023,SN,La Somone,R,101.48,239,77.8,,,F,,5555555888,Ireland,ROC,Rockabill,4/7/2012,HY,11,Steve Newton,ROC,,,,,
SR05962,23-32,,E42,GR,2023,4/12/2023,SN,La Somone,R,100.48,239,82.5,,,M,,5555558888,Ireland,ROC,Rockabill,19/06/2006,HY,17,Steve Newton,ROC,,,,,
CV83818,23-33,,E67,GL,2023,4/12/2023,SN,La Somone,L,95.35,232,75.2,,,F,,5555558888,,,,,,,,unknown,,,,,
CV83529,,,B81,GL,2023,3/23/2023,SN,La Somone,L,106.2,233,78.4,,20.48,,,5555558888,,,,,,,,unknown,,,,,
CV83530,,,B71,GL,2023,3/23/2023,SN,La Somone,L,105.6,242,79.6,,21.19,,,5555555888,,,,,,,,unknown,,,,,
CV83531,,,B77,GL,2023,3/24/2023,SN,La Somone,L,99,233,81.2,,22.7,,,888,,,,,,,,unknown,,,,,
CV83532,,,B75,GL,2023,3/24/2023,SN,La Somone,L,100,232,80.4,,20.8,,,888,,,,,,,,unknown,,,,,
CV83533,,,B69,GL,2023,3/24/2023,SN,La Somone,L,94,229,76.9,,20.9,,,888,,,,,,,,unknown,,,,,
CV83534,,,A33,GL,2023,3/25/2023,SN,La Somone,L,91.33,232,76.9,,21,,,888,,,,,,,,unknown,,,,,
CV83535,,,A35,GL,2023,3/25/2023,SN,La Somone,L,91.46,239,77.4,,20.6,,,888,,,,,,,,unknown,,,,,
BJ01946,,,B46,GL,2023,3/27/2023,SN,La langue de Barbarie,R,94.45,234,80.2,,23.1,,,5555555888,Senegal,,La Somone,7/4/2018,AD,,SAFRING,unknown,Colour-ring B46 added,,,,
BJ02049,,,A56,GL,2023,3/27/2023,SN,La langue de Barbarie,R,91.35,241,77.7,,21.4,,,5555555888,Senegal,,La Somone,7/4/2018,AD,,SAFRING,unknown,Colour-ring A56 added,,,,
CV83536,,,A67,GR,2023,3/27/2023,SN,La langue de Barbarie,L,119.6,238,81.4,,21.5,,,5555558888,,,,,,,,unknown,,,,,
CV83537,,,A59,GR,2023,3/27/2023,SN,La langue de Barbarie,L,105.39,238,79.3,,20,,,5555555888,,,,,,,,unknown,,,,,
CV83538,,,A73,GR,2023,3/27/2023,SN,La langue de Barbarie,L,132.58,240,82.5,,21.8,,,5555555888,,,,,,,,unknown,,,,,
CV83539,,,A66,GR,2023,3/27/2023,SN,La langue de Barbarie,L,123.62,235,83,,21.7,,,5555555588,,,,,,,,unknown,,,,,
CV83540,,,A74,GR,2023,3/27/2023,SN,La langue de Barbarie,L,112.66,237,78.8,,21.9,,,5555555888,,,,,,,,unknown,,,,,
CV83541,,,A92,GR,2023,3/27/2023,SN,La langue de Barbarie,L,110.58,236,80.6,,21.6,,,5555555588,,,,,,,,unknown,,,,,
CV83542,,,A57,GL,2023,3/27/2023,SN,La langue de Barbarie,L,99,237,80.7,,20.9,,,5555555888,,,,,,,,unknown,,,,,
CV83543,,,A38,GL,2023,3/27/2023,SN,La langue de Barbarie,L,93.84,237,77.5,,19.2,,,5555555888,,,,,,,,unknown,,,,,
CV83544,,,B44,GL,2023,3/27/2023,SN,La langue de Barbarie,L,106.9,227,74.9,,20,,,5558888888,,,,,,,,unknown,,,,,
CV83545,,,B57,GL,2023,3/27/2023,SN,La langue de Barbarie,L,105.7,241,78.8,,21.5,,,5555555888,,,,,,,,unknown,,,,,
CV83546,,,A63,GL,2023,3/27/2023,SN,La langue de Barbarie,L,102.89,236,78.2,,21,,,5555555888,,,,,,,,unknown,,,,,
CV83547,,,B85,GL,2023,3/27/2023,SN,La langue de Barbarie,L,102.62,237,81.9,,21.9,,,5555555888,,,,,,,,unknown,,,,,
CV83548,,,B89,GL,2023,3/27/2023,SN,La langue de Barbarie,L,99.92,236,78.3,,20.6,,,5555555888,,,,,,,,unknown,,,,,
CV83549,,,B92,GL,2023,3/27/2023,SN,La langue de Barbarie,L,110.24,231,81.9,,20.2,,,5555555888,,,,,,,,unknown,,,,,
CV83550,,,A40,GL,2023,3/27/2023,SN,La langue de Barbarie,L,90.59,240,76.7,,21.3,,,5555555888,,,,,,,,unknown,,,,,
G0123254,,,A93,GL,2023,3/27/2023,SN,La langue de Barbarie,R,113.31,236,77.21,,19.8,,,5555555888,Azores,AZ,,,,,,AZ,,,,,
ST04019,,Right: AV/19,,,2023,3/27/2023,SN,La langue de Barbarie,R,107.74,234,77.7,,19.6,,,5555555888,Ireland,ROC,Rockabill,13/07/2011,HY,12,Steve Newton,ROC,,,,,
CV83551,,,A42,GL,2023,3/28/2023,SN,La langue de Barbarie,L,120.18,232,78.2,,21.7,,,5555555888,,,,,,,,unknown,,,,,
CV83552,,,A37,GL,2023,3/28/2023,SN,La langue de Barbarie,L,115.92,228,78.4,,21.4,,,5555555888,,,,,,,,unknown,,,,,
CV83553,,,A26,GL,2023,3/28/2023,SN,La langue de Barbarie,L,116.03,230,79.4,,20.5,,,5555555888,,,,,,,,unknown,,,,,
CV83554,,,B64,GL,2023,3/28/2023,SN,La langue de Barbarie,L,119.88,245,81.4,,21.7,,,5555555888,,,,,,,,unknown,,,,,
CV83555,,,B43,GL,2023,3/28/2023,SN,La langue de Barbarie,L,127.45,229,77.1,,20.1,,,5555555888,,,,,,,,unknown,,,,,
CV83556,,,B79,GL,2023,3/28/2023,SN,La langue de Barbarie,L,119.27,227,78.5,,20.9,,,5555548888,,,,,,,,unknown,,,,,
CV83557,,,A03,GL,2023,3/28/2023,SN,La langue de Barbarie,L,101.57,232,80.9,,21.1,,,5555555888,,,,,,,,unknown,,,,,
CV83559,,,A17,GL,2023,3/28/2023,SN,La langue de Barbarie,L,111.75,237,78.4,,21.4,,,5555555888,,,,,,,,unknown,,,,,
CV83560,,,B60,GL,2023,3/28/2023,SN,La langue de Barbarie,L,102.71,242,78.2,,21.5,,,5555888888,,,,,,,,unknown,,,,,
CV83561,,,B59,GL,2023,3/28/2023,SN,La langue de Barbarie,L,101.51,233,76.5,,19.3,,,5555555488,,,,,,,,unknown,,,,,
Ring AC,,Right: AV/ZK,B82,GL,2023,3/28/2023,SN,La langue de Barbarie,R,115.77,234,78.7,,21.1,,,5555555888,Ireland,ROC,Rockabill,11/7/2018,HY,5,Steve Newton,ROC,,,,,
CV83562,,,B63,GL,2023,3/29/2023,SN,La langue de Barbarie,L,121.95,233,78.3,,20.5,,,5555555488,,,,,,,,unknown,,,,,
CV83563,,,B78,GL,2023,3/29/2023,SN,La langue de Barbarie,L,118.86,230,80.1,,21.3,,,5555555888,,,,,,,,unknown,,,,,
CV83564,,,B37,GL,2023,3/29/2023,SN,La langue de Barbarie,L,115.74,237,77.5,,21.7,,,5555555888,,,,,,,,unknown,,,,,
CV83565,,,B83,GL,2023,3/30/2023,SN,La langue de Barbarie,L,124.84,241,76,,19.7,,,5555888888,,,,,,,,unknown,,,,,
CV83566,,,E40,GL,2023,3/30/2023,SN,La langue de Barbarie,L,124.7,233,79.7,,21.1,,,5555555588,,,,,,,,unknown,,,,,
CV83567,,,E45,GL,2023,3/30/2023,SN,La langue de Barbarie,L,129.2,242,82.3,,21.7,,,5555555888,,,,,,,,unknown,,,,,
CV83568,,,E47,GL,2023,3/30/2023,SN,La langue de Barbarie,L,126.65,238,80.7,,21.6,,,5555555888,,,,,,,,unknown,,,,,
CV83569,,,E49,GL,2023,3/30/2023,SN,La langue de Barbarie,L,120.84,241,78.9,,20.9,,,5555555888,,,,,,,,unknown,,,,,
CV83570,,,E37,GL,2023,3/30/2023,SN,La langue de Barbarie,L,138.14,236,81.4,,21.9,,,5555555888,,,,,,,,unknown,,,,,
CV83571,,,E39,GL,2023,3/30/2023,SN,La langue de Barbarie,L,113.44,239,82.4,,21.4,,,5555555888,,,,,,,,unknown,,,,,
CV83572,,,E38,GL,2023,3/30/2023,SN,La langue de Barbarie,L,125.96,235,81.7,,21.7,,,5555555888,,,,,,,,unknown,,,,,
CV83573,,,E41,GL,2023,3/30/2023,SN,La langue de Barbarie,L,122.48,237,83.2,,21.3,,,5555555888,,,,,,,,unknown,,,,,
CV83574,,,E35,GL,2023,3/30/2023,SN,La langue de Barbarie,L,121.56,242,78.7,,21.7,,,5555555888,,,,,,,,unknown,,,,,
CV83575,,,E36,GL,2023,3/30/2023,SN,La langue de Barbarie,L,113.34,229,76.4,,20.7,,,5555555888,,,,,,,,unknown,,,,,
CV83576,,,E22,GL,2023,3/30/2023,SN,La langue de Barbarie,L,107.59,245,79.8,,20.8,,,5555555588,,,,,,,,unknown,,,,,
CV83577,,,E23,GL,2023,3/30/2023,SN,La langue de Barbarie,L,99.84,240,77.9,,19.9,,,5555554888,,,,,,,,unknown,,,,,
CV83578,,,E27,GL,2023,3/30/2023,SN,La langue de Barbarie,L,105.08,238,78,,20.7,,,5555555888,,,,,,,,unknown,,,,,
CV83579,,,E29,GL,2023,3/30/2023,SN,La langue de Barbarie,L,95.38,230,77.6,,20.6,,,5555555888,,,,,,,,unknown,,,,,
CV83580,,,E65,GL,2023,3/31/2023,SN,La langue de Barbarie,L,132.5,236,81,,22.4,,,5555555588,,,,,,,,unknown,,,,,
CV83581,,,E68,GL,2023,3/31/2023,SN,La langue de Barbarie,L,127.02,243,80.6,,21.4,,,5555555888,,,,,,,,unknown,,,,,
CV83582,,,E59,GL,2023,3/31/2023,SN,La langue de Barbarie,L,125.72,237,79.3,,22.8,,,5555555588,,,,,,,,unknown,,,,,
CV83583,,,E60,GL,2023,3/31/2023,SN,La langue de Barbarie,L,128.26,227,79.5,,20.4,,,5555555588,,,,,,,,unknown,,,,,
CV83584,,,E61,GL,2023,3/31/2023,SN,La langue de Barbarie,L,119.51,238,79,,21.5,,,5555555888,,,,,,,,unknown,,,,,
CV83585,,,E63,GL,2023,3/31/2023,SN,La langue de Barbarie,L,121.06,239,77.7,,21.3,,,5555555588,,,,,,,,unknown,,,,,
CV83586,,,E58,GL,2023,3/31/2023,SN,La langue de Barbarie,L,118.18,233,81.6,,20,,,5555555588,,,,,,,,unknown,,,,,
CV83587,,,E57,GL,2023,3/31/2023,SN,La langue de Barbarie,L,119.23,230,78.9,,21.1,,,5555555888,,,,,,,,unknown,,,,,
CV83588,,,E64,GL,2023,3/31/2023,SN,La langue de Barbarie,L,107.54,236,76,,20.2,,,5555555588,,,,,,,,unknown,,,,,
CV83589,,,E52,GL,2023,3/31/2023,SN,La langue de Barbarie,L,95.37,238,76.9,,21.6,,,5555555888,,,,,,,,unknown,,,,,
CV83590,,,E54,GL,2023,3/31/2023,SN,La langue de Barbarie,L,113.07,239,76.6,,20.2,,,5555555488,,,,,,,,unknown,,,,,
ST19512,,Right: 12/BE,,,2023,3/31/2023,SN,La langue de Barbarie,R,118.81,243,83.2,,20.5,,,5555555888,Ireland,ROC,Rockabill,4/7/2012,HY,11,Steve Newton,ROC,,,,,
ST24974,,Right: 74/CW,,,2023,3/31/2023,SN,La langue de Barbarie,R,93.29,234,77.6,,20.8,,,5555553888,Ireland,ROC,Rockabill,23/06/2015,HY,8,Steve Newton,ROC,,,,,
CV83591,,,E06,GL,2023,4/1/2023,SN,La langue de Barbarie,L,120.73,242,83.3,,21,,,5555555888,,,,,,,,unknown,,,,,
CV83592,,,E00,GL,2023,4/1/2023,SN,La langue de Barbarie,L,100.89,238,80.2,,20.8,,,5555555888,,,,,,,,unknown,,,,,
CV83593,,,E11,GL,2023,4/1/2023,SN,La langue de Barbarie,L,96.11,235,79.3,,20.6,,,5555558888,,,,,,,,unknown,,,,,
CV83594,,,E14,GL,2023,4/1/2023,SN,La langue de Barbarie,L,101.12,236,81.8,,21.7,,,5555554888,,,,,,,,ROC,,(May 2023),Rockabill (Ireland),Steve Newton,
CV83596,,,E94,GL,2023,4/1/2023,SN,La langue de Barbarie,L,106.41,233,78.1,,21.9,,,5555555588,,,,,,,,unknown,,,,,
CV83597,,,E56,GL,2023,4/1/2023,SN,La langue de Barbarie,L,100.08,238,81.7,,20.4,,,5555555888,,,,,,,,unknown,,,,,
ST21115,,Right: 15/BP,,,2023,4/1/2023,SN,La langue de Barbarie,R,134.4,239,78.9,,21.6,,,5555554888,Ireland,ROC,Rockabill,28/06/2013,HY,10,Steve Newton,ROC,,,,,
ST25709,,Right: 09/DJ,,,2023,4/11/2023,SN,La Somone,R,102.45,235,79.5,,,,,5555555888,Ireland,ROC,Rockabill,29/06/2015,HY,8,Steve Newton,ROC,,,,,
,NS1,,,,2018,,,,,,,,,,,,,,,,,,,,NS,,,,,
,NS2,,,,2018,,,,,,,,,,,,,,,,,,,,NS,,,,,
,NS3,,,,2018,,,,,,,,,,,,,,,,,,,,NS,,,,,
,NS4,,,,2018,,,,,,,,,,,,,,,,,,,,NS,,,,,
,NS5,,,,2018,,,,,,,,,,,,,,,,,,,,NS,,,,,
,NS6,,,,2018,,,,,,,,,,,,,,,,,,,,NS,,,,,
,NS7,,,,2018,,,,,,,,,,,,,,,,,,,,NS,,,,,
,NS8,,,,2018,,,,,,,,,,,,,,,,,,,,NS,,,,,
,NS9,,,,2018,,,,,,,,,,,,,,,,,,,,NS,,,,,
,NS10,,,,2018,,,,,,,,,,,,,,,,,,,,NS,,,,,
,NS11,,,,2018,,,,,,,,,,,,,,,,,,,,NS,,,,,
,NS12,,,,2018,,,,,,,,,,,,,,,,,,,,NS,,,,,
,NS13,,,,2018,,,,,,,,,,,,,,,,,,,,NS,,,,,
,NS14,,,,2018,,,,,,,,,,,,,,,,,,,,NS,,,,,
,NS15,,,,2018,,,,,,,,,,,,,,,,,,,,NS,,,,,
,NS16,,,,2018,,,,,,,,,,,,,,,,,,,,NS,,,,,
,NS17,,,,2018,,,,,,,,,,,,,,,,,,,,NS,,,,,
,NS18,,,,2018,,,,,,,,,,,,,,,,,,,,NS,,,,,
,NS19,,,,2018,,,,,,,,,,,,,,,,,,,,NS,,,,,
,NS20,,,,2018,,,,,,,,,,,,,,,,,,,,NS,,,,,
,NS21,,,,2018,,,,,,,,,,,,,,,,,,,,NS,,,,,
,NS22,,,,2018,,,,,,,,,,,,,,,,,,,,NS,,,,,
,NS23,,,,2018,,,,,,,,,,,,,,,,,,,,NS,,,,,
,NS24,,,,2018,,,,,,,,,,,,,,,,,,,,NS,,,,,
,RM01,,,,2016,,,,,,,,,,,,,,,,,,,,MA,,,,,
,RM02,,,,2016,,,,,,,,,,,,,,,,,,,,MA,,,,,
,RM03,,,,2016,,,,,,,,,,,,,,,,,,,,MA,,,,,
,RM04,,,,2016,,,,,,,,,,,,,,,,,,,,MA,,,,,
,RM05,,,,2016,,,,,,,,,,,,,,,,,,,,MA,,,,,
,RM06,,,,2016,,,,,,,,,,,,,,,,,,,,MA,,,,,
,RM07,,,,2016,,,,,,,,,,,,,,,,,,,,MA,,,,,
,RM08,,,,2016,,,,,,,,,,,,,,,,,,,,MA,,,,,
,RM09,,,,2016,,,,,,,,,,,,,,,,,,,,MA,,,,,
,RM10,,,,2016,,,,,,,,,,,,,,,,,,,,MA,,,,,
,RM11,,,,2016,,,,,,,,,,,,,,,,,,,,MA,,,,,
,RM12,,,,2016,,,,,,,,,,,,,,,,,,,,MA,,,,,
,RM13,,,,2016,,,,,,,,,,,,,,,,,,,,MA,,,,,
,RM14,,,,2016,,,,,,,,,,,,,,,,,,,,MA,,,,,
,RM15,,,,2016,,,,,,,,,,,,,,,,,,,,MA,,,,,
,RM16,,,,2016,,,,,,,,,,,,,,,,,,,,MA,,,,,
,RM17,,,,2016,,,,,,,,,,,,,,,,,,,,MA,,,,,
,RM18,,,,2016,,,,,,,,,,,,,,,,,,,,MA,,,,,
,RM19,,,,2016,,,,,,,,,,,,,,,,,,,,MA,,,,,
,RM20,,,,2016,,,,,,,,,,,,,,,,,,,,MA,,,,,
,RM21,,,,2016,,,,,,,,,,,,,,,,,,,,MA,,,,,
,RM22,,,,2016,,,,,,,,,,,,,,,,,,,,MA,,,,,
,RM23,,,,2016,,,,,,,,,,,,,,,,,,,,MA,,,,,
,RM24,,,,2016,,,,,,,,,,,,,,,,,,,,MA,,,,,
,RM25,,,,2016,,,,,,,,,,,,,,,,,,,,MA,,,,,
,RM26,,,,2016,,,,,,,,,,,,,,,,,,,,MA,,,,,
,RM27,,,,2016,,,,,,,,,,,,,,,,,,,,MA,,,,,
,RM28,,,,2016,,,,,,,,,,,,,,,,,,,,MA,,,,,
,RM29,,,,2016,,,,,,,,,,,,,,,,,,,,MA,,,,,
,RM30,,,,2016,,,,,,,,,,,,,,,,,,,,MA,,,,,
,RM31,,,,2016,,,,,,,,,,,,,,,,,,,,MA,,,,,
,RM32,,,,2016,,,,,,,,,,,,,,,,,,,,MA,,,,,
,BI01,,,,1997,,,,,,,,,,,,,,,,,,,,MA,,,,,
,BI02,,,,1997,,,,,,,,,,,,,,,,,,,,MA,,,,,
,BI03,,,,1997,,,,,,,,,,,,,,,,,,,,MA,,,,,
,BI04,,,,1997,,,,,,,,,,,,,,,,,,,,MA,,,,,
,BI05,,,,1997,,,,,,,,,,,,,,,,,,,,MA,,,,,
,BI06,,,,1997,,,,,,,,,,,,,,,,,,,,MA,,,,,
,BI07,,,,1997,,,,,,,,,,,,,,,,,,,,MA,,,,,
,BI08,,,,1997,,,,,,,,,,,,,,,,,,,,MA,,,,,
,BI09,,,,1997,,,,,,,,,,,,,,,,,,,,MA,,,,,
,BI10,,,,1997,,,,,,,,,,,,,,,,,,,,MA,,,,,
,BI11,,,,1997,,,,,,,,,,,,,,,,,,,,MA,,,,,
,BI12,,,,1997,,,,,,,,,,,,,,,,,,,,MA,,,,,
,BI13,,,,1997,,,,,,,,,,,,,,,,,,,,MA,,,,,
,BI14,,,,1997,,,,,,,,,,,,,,,,,,,,MA,,,,,
,BI15,,,,1997,,,,,,,,,,,,,,,,,,,,MA,,,,,
,BI16,,,,1997,,,,,,,,,,,,,,,,,,,,MA,,,,,
,BI17,,,,1997,,,,,,,,,,,,,,,,,,,,MA,,,,,
,BI18,,,,1997,,,,,,,,,,,,,,,,,,,,MA,,,,,
,BI19,,,,1997,,,,,,,,,,,,,,,,,,,,MA,,,,,
,BI20,,,,1997,,,,,,,,,,,,,,,,,,,,MA,,,,,
,BI21,,,,1997,,,,,,,,,,,,,,,,,,,,MA,,,,,
,BI22,,,,1997,,,,,,,,,,,,,,,,,,,,MA,,,,,
,BI23,,,,1997,,,,,,,,,,,,,,,,,,,,MA,,,,,
,BI24,,,,1997,,,,,,,,,,,,,,,,,,,,MA,,,,,
,BI25,,,,1997,,,,,,,,,,,,,,,,,,,,MA,,,,,
,BI26,,,,1997,,,,,,,,,,,,,,,,,,,,MA,,,,,
,BI27,,,,1997,,,,,,,,,,,,,,,,,,,,MA,,,,,
,BI28,,,,1997,,,,,,,,,,,,,,,,,,,,MA,,,,,
,BI29,,,,1997,,,,,,,,,,,,,,,,,,,,MA,,,,,
,BI30,,,,1997,,,,,,,,,,,,,,,,,,,,MA,,,,,
,BI31,,,,1997,,,,,,,,,,,,,,,,,,,,MA,,,,,
,BI32,,,,1997,,,,,,,,,,,,,,,,,,,,MA,,,,,
,B76_nh,,,,2023,,US,Seavey Island,,,,,,,,,,,,,,,,,NH,,,,,
,SA6,,,,2023,,US,Seavey Island,,,,,,,,,,,,,,,,,NH,,,,,
,SA9,,,,2023,,US,Seavey Island,,,,,,,,,,,,,,,,,NH,,,,,
,SB2,,,,2023,,US,Seavey Island,,,,,,,,,,,,,,,,,NH,,,,,
,SB3,,,,2023,,US,Seavey Island,,,,,,,,,,,,,,,,,NH,,,,,
,SC6,,,,2023,,US,Seavey Island,,,,,,,,,,,,,,,,,NH,,,,,
,SC8,,,,2023,,US,Seavey Island,,,,,,,,,,,,,,,,,NH,,,,,
,SD0,,,,2023,,US,Seavey Island,,,,,,,,,,,,,,,,,NH,,,,,
,SD5,,,,2023,,US,Seavey Island,,,,,,,,,,,,,,,,,NH,,,,,
,SE6,,,,2023,,US,Seavey Island,,,,,,,,,,,,,,,,,NH,,,,,
,SH3,,,,2023,,US,Seavey Island,,,,,,,,,,,,,,,,,NH,,,,,
,SH9,,,,2023,,US,Seavey Island,,,,,,,,,,,,,,,,,NH,,,,,
,SJ5,,,,2023,,US,Seavey Island,,,,,,,,,,,,,,,,,NH,,,,,
,SJ8,,,,2023,,US,Seavey Island,,,,,,,,,,,,,,,,,NH,,,,,
,SK1,,,,2023,,US,Seavey Island,,,,,,,,,,,,,,,,,NH,,,,,
,SK3,,,,2023,,US,Seavey Island,,,,,,,,,,,,,,,,,NH,,,,,
,SK9,,,,2023,,US,Seavey Island,,,,,,,,,,,,,,,,,NH,,,,,
,SL1,,,,2023,,US,Seavey Island,,,,,,,,,,,,,,,,,NH,,,,,
,SL3,,,,2023,,US,Seavey Island,,,,,,,,,,,,,,,,,NH,,,,,
,SL7,,,,2023,,US,Seavey Island,,,,,,,,,,,,,,,,,NH,,,,,
,SM3,,,,2023,,US,Seavey Island,,,,,,,,,,,,,,,,,NH,,,,,
,SM4,,,,2023,,US,Seavey Island,,,,,,,,,,,,,,,,,NH,,,,,
,SM5,,,,2023,,US,Seavey Island,,,,,,,,,,,,,,,,,NH,,,,,
,SM7,,,,2023,,US,Seavey Island,,,,,,,,,,,,,,,,,NH,,,,,
,SR5,,,,2023,,US,Seavey Island,,,,,,,,,,,,,,,,,NH,,,,,